District,pop_2011
Adilabad,708972
Bhadradri Kothagudem,1069261
Hyderabad,3943323
Jagitial,985417
Jangaon,566376
Jayashankar Bhupalpally,416763
Jogulamba Gadwal,609990
Kamareddy,972625
Karimnagar,1005711
Khammam,1401639
Komaram Bheem,515812
Mahabubabad,774549
Mahabubnagar,919903
Mancherial,807037
Medak,767428
Medchal–Malkajgiri,2440073
Mulugu,257744
Nagarkurnool,893308
Narayanpet,566874
Nalgonda,1618416
Nirmal,709418
Nizamabad,1571022
Peddapalli,795332
Rajanna Sircilla,552037
Ranga Reddy,2446265
Sangareddy,1527628
Siddipet,1012065
Suryapet,1099560
Vikarabad,927140
Wanaparthy,577758
Warangal Rural,718537
Warangal Urban,1080858
Yadadri Bhuvanagiri,739448
